Publication Type,Authors,Article Title,Source Title,Volume,Issue,Start Page,End Page,DOI,Publication Date,Publication Year,Abstract,Pass abstract screening?,Abstract Screener?,Measures emperically derived production based on results?,Measures simulation/model derived production based on results?,Results Screener?,"Primary, secondary production or both?",Production unit,Marine or estuarine production?,Other notes,,
J,"Lourenco, Rafael Andre; Francioni, Eleine; da Silva, Antonio Henrique M. F. T.; Magalhaes, Caio Augusto; Costa Gallotta, Fabiana Dias; de Oliveira, Fabio Francisco; de Souza, Joao Maximino; Macena de Araujo, Leandro Franco; de Araujo, Liliane Pequeno; de Araujo Junior, Marcus Antonio G.; Guadalupe Meniconi, Maria de Fatima; Bindes Gomes Lopes, Monica Aparecida Ferreira de Souza",Bioaccumulation Study of Produced Water Discharges from Southeastern Brazilian Offshore Petroleum Industry Using Feral Fishes,ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY,74,3,461,470,10.1007/s00244-018-0510-5,Apr-18,2018,"The main effluent of oil and gas production is the discharge of produced water (PW). Despite the potential environmental impact, the structure of oil and gas platforms can act as artificial reefs. Two species of fish, Caranx crysos and Tylosurus acus, were captured under two discharging platforms at Campos Basin, P19 and P40. A nondischarging platform, P25, was taken as reference. The highest median concentration of PAH in muscle tissue was observed for C. Crysos at P40 (219.38 ng g(-1)) followed by P19 (68.26 ng g(-1)). For T. acus, the highest median concentrations were 40.07 and 42.21 ng g(-1) from P19 and P40 respectively. P25 presented the smallest recorded concentrations. The results of PAH in the muscle tissue of C. crysos enabled to distinguish the platforms with PW discharge from the platform without discharge. Trace elements concentrations reflected the background levels and were not influenced by the PW release.",No,Ray,NA,NA,NA,NA,NA,NA,,,
J,"Consoli, Pierpaolo; Romeo, Teresa; Ferraro, Maria; Sara, Gianluca; Andaloro, Franco",Factors affecting fish assemblages associated with gas platforms in the Mediterranean Sea,JOURNAL OF SEA RESEARCH,77,,45,52,10.1016/j.seares.2012.10.001,Mar-13,2013,"Understanding the role played by offshore platforms in marine ecosystems is acquiring increasing importance worldwide. In this work, underwater visual census techniques were applied to describe spatial and temporal patterns of fish assemblages associated with extractive platforms. Data were collected during three seasons according to the following spatial factors: Location (Adriatic and Ionian Seas), Depth (0-6 m and 12-18 m) and Distance from the platform (external and internal). Both univariate and multivariate analyses showed highly significant differences for each factor assessed in this study, as well as for the interaction among said factors. Results indicated that artificial structures in both the Adriatic and Ionian Seas act as artificial reefs attracting reef-dwelling or partially reef-dwelling species, which are not present far from the platforms in open waters. Results also showed significant differences between Ionian and Adriatic fish assemblages, with a higher mean density of fish and a greater mean number of species in the latter basin. Boops boops, Chromis chromis and several species belonging to the Blennidae family most contributed to these differences. This is likely due to the eutrophication that involves the coast of the northern and central Adriatic, allowing a high production of fish, especially planctivorous. Thanks to the eutrophication, platforms located in this basin are characterized by a greater abundance of fouling organisms which offer a perfect habitat for cryptobenthic species, such as Blennids. Moreover, Thalassoma pavo and Scorpaena maderensis, thermophilic species, were more abundant in the Ionian platforms than in the Adriatic ones thus contributing to the dissimilarities between these two basins. Present results could bear strong implications for the environmental management of drilling and production activities in different basins. Assessing biodiversity in these highly complex contexts is a challenge for the near future, and the existence of a reliable method such as UVC would affect international research in this field. (C) 2012 Elsevier B.V. All rights reserved.",Yes,Ray,No,NA,Ray,NA,NA,NA,measured fish density and community metrics,,
J,"Tidbury, Hannah; Taylor, Nick; van der Molen, Johan; Garcia, Luz; Posen, Paulette; Gill, Andrew; Lincoln, Susana; Judd, Adrian; Hyder, Kieran",Social network analysis as a tool for marine spatial planning: Impacts of decommissioning on connectivity in the North Sea,JOURNAL OF APPLIED ECOLOGY,57,3,566,577,10.1111/1365-2664.13551,Mar-20,2020,"Connectivity of marine populations and ecosystems is crucial to maintaining and enhancing their structure, distribution, persistence, resilience and productivity. Artificial hard substrate, such as that associated with oil and gas platforms, provides settlement opportunities for species adapted to hard substrates in areas of soft sediment. The contribution of artificial hard substrate and the consequences of its removal (e.g. through decommissioning) to marine connectivity is not clear, yet such information is vital to inform marine spatial planning and future policy decisions on the use and protection of marine resources. This study demonstrates the application of a social network analysis approach to quantify and describe the ecological connectivity, informed by particle tracking model outputs, of hard substrate marine communities in the North Sea. Through comparison of networks with and without artificial hard substrate, and based on hypothetical decommissioning scenarios, this study provides insight into the contribution of artificial hard substrate, and the consequence of decommissioning, to the structure and function of marine community connectivity. This study highlights that artificial hard substrate, despite providing only a small proportion of the total area of hard substrate, increases the geographic extent and connectivity of the hard substrate network, bridging gaps, thereby providing 'stepping stones' between otherwise disconnected areas of natural hard substrate. Compared to the baseline scenario, a decommissioning scenario with full removal of oil and gas platforms results in a nearly 60% reduction in connectivity. Such reduction in connectivity may have negative implications for species' distribution, gene flow and resilience following disturbance or exploitation of marine hard substrate communities. Synthesis and applications. Social network analysis can provide valuable insight into connectivity between marine communities and enable the evaluation of impacts associated with changes to the marine environment. Providing standardized, transparent and robust outputs, such a tool is useful to facilitate understanding across different disciplines, including marine science, marine spatial planning and marine policy. Social network analysis therefore has great potential to address current knowledge gaps with respect to marine connectivity and crucially facilitate assessment of the impacts of changes in offshore substrate as part of the marine spatial planning process, thereby informing policy and marine management decisions.",No,Ray,NA,NA,NA,NA,NA,NA,,,
J,"Villareal, T. A.; Hanson, S.; Qualia, Steve; Jester, E. L. E.; Granade, H. R.; Dickey, R. W.",Petroleum production platforms as sites for the expansion of ciguatera in the northwestern Gulf of Mexico,HARMFUL ALGAE,6,2,253,259,10.1016/j.hal.2006.08.008,Feb-07,2007,"Ciguatera is a common human disease of tropical, coral reef ecosystems acquired by consuming finfish-containing ciguatoxins (CTX). There are few records of this disease in the northwestern Gulf of Mexico, a region characterized by soft muddy bottoms that are considered poor habitat for the CTX source dinoflagellate Gambierdiscus toxicus. However, the approximately 4000 petroleum production platforms and hundreds of state-sponsored artificial reefs located in the Gulf of Mexico provide hard substrate and often support coral and other components of the tropical benthos. In addition to their role in their resource extraction, these oil production platforms are also popular sites for recreational fishing and sport diving. We examined these platforms as potential substrate for G. toxicus and report a first record of this species in the NW Gulf of Mexico. All the platforms (n = 6) examined harbored the dinoflagellate as an epiphyte on the fouling community, with three finds of G. toxicus associated with the pelagic macroalga, Sargassum. Only minor toxicity (< 0.15 ppb) was noted in two of 20 great barracuda (Sphyraena barracuda) examined. Tagging data suggest trans-Gulf migrations by barracuda are common; thus, we cannot determine if the toxicity was acquired locally or transported in migrating fish.These platforms are a clear example of how human activity has altered the environment in a way that allows expansion of a HA-B population. The rapid increase in production platforms since 1942 has provided novel substrate in a sandy/muddy bottom environment generally considered to be poor habitat for these benthic dinoflagellates. These platforms create a unique habitat in the upper euphotic zone and serve as intersection points for fishermen and potentially toxic fish. Many Gulf of Mexico states have active programs to turn non-producing platforms into artificial reefs. Our results suggest that the use of these platforms as fisheries enhancement structures could have unintended consequences for human health, particularly if projected rising sea-surface temperatures over the next century alter benthic distributions and fish migration patterns. These concerns also extend to mariculture operations around oil production rigs or offshore wind farms, both of which would also add substrate for epibenthic microalgae. (c) 2006 Elsevier B.V. All rights reserved.",Yes,Ray,No,NA,Ray,NA,NA,NA,measured algal abundance,,
J,"Schroeder, DM; Love, MS",Ecological and political issues surrounding decommissioning of offshore oil facilities in the Southern California Bight,OCEAN & COASTAL MANAGEMENT,47,2-Jan,21,48,10.1016/j.ocecoaman.2004.03.002,2004,2004,"To aid legislators, resource managers, and the general public, this paper summarizes and clarifies some of the issues and options that the federal government and the state of California face in decommissioning offshore oil and gas production platforms, particularly as these relate to platform ecology. Both local marine ecology and political climate play a role in decommissioning offshore oil production platforms. Compared to the relatively supportive political climate in the Gulf of Mexico for rigs-to-reefs programs, conflicting social values among stakeholders in Southern California increases the need for understanding ecological impacts of various decommissioning alternatives (which range from total removal to allowing some or all of platform structure to remain in the ocean). Additional scientific needs in the decommissioning process include further assessment of platform habitat quality, estimation of regional impacts of decommissioning alternatives to marine populations, and determination of biological effects of any residual contaminants. The principal management need is a ranking of environmental priorities (e.g. species-of-interest and marine habitats). Because considerable numbers of economically important species reside near oil platforms, National Oceanic and Atmospheric Administration Fisheries should consider the consequences of decommissioning alternatives in their overall management plans. Management strategies could include designating reefed platforms as marine protected areas. The overarching conclusion from both ecological and political perspectives is that decommissioning decisions should be made on a case-by-case basis. (C) 2004 Elsevier Ltd. All rights reserved.",No,Ray,NA,NA,NA,NA,NA,NA,,,
J,"Canizares, Diego; Angers, Paul; Ratti, Cristina",Organogelation Capacity of Epicuticular and Cuticular Waxes from Flax and Wheat Straws,JOURNAL OF THE AMERICAN OIL CHEMISTS SOCIETY,98,3,329,339,10.1002/aocs.12441,Mar-21,2021,"Valorization of the agri-food industry by-products could contribute to curb issues related to food security and environmental problems. Flax and wheat seeds are major products of this industry, but their production is associated with tons of straws that can be valorized for their cuticular and epicuticular waxes. We aimed to determine the organogelation capacity of epicuticular waxes in comparison to cuticular waxes from both flax and wheat straws. Epicuticular waxes from flax and wheat straws have structured canola oil at 2% and 4% (w/w), respectively, whereas cuticular waxes from flax and wheat straws required critical concentrations of 4% and 5% (w/w), respectively. Characterization of the organogelation capacity (onset of crystallization temperature, temperature of phase transition, crystal morphology, solid fat, crystalline structure, and oil binding capacity) was also carried out. The high onset of crystallization temperature (38.1 +/- 1.2 degrees C), the phase transition at high temperature (38 +/- 1.5 degrees C), and capacity to structure canola oil at low concentration showed that epicuticular wax from flax straw is a promisor fat substitute, presenting organogelation properties comparable to the best results obtained in the literature for other vegetal waxes.",No,Ray,NA,NA,NA,NA,NA,NA,,,
J,"Camphuysen, Kees C. J.; de Vreeze, Fedde",Black-legged Kittiwakes Rissa tridactyla nesting on an offshore platform in the Netherlands,Limosa,78,2,65,74,,2005,2005,"In summer 2000, personnel of Wintershall AG reported chicks of gulls on the offshore platform L8-P in the Southern Bight (65 km NW of the island of Texel, The Netherlands), The gulls turned out to be Black-legged Kittiwakes, a cliff-nesting seabird that had never bred in The Netherlands before. A visit by Wintershall staff in 2001 confirmed the presence of at least 3 nests.L8-P is an uninhabited gas-exploitation platform at 53 degrees 38.5'N, 04 degrees 34'E, in 32 m deep water, an area known as the Frisian Front (a separation zone between turbid water of the Southern Bight and clear, saline water of the Central North Sea). No information was received since then and a visit planned for 2004 had to be cancelled. On 22 June 2005, however, a full day was spent on the island and a colony census could be conducted successfully. On eight different locations, with most nests (62.2%) along the east and southeast side of the platform (Fig. 1), 45 apparently occupied nests were found. Of these, 22 nests were empty, eight contained a single egg, and 15 held two eggs. The mean egg size was 55.84 x 39.98 mm, with no difference between single egg and double egg clutches. Samples of guano and nest material were taken, and these suggested that the birds fed mainly on small sandeels Ammodytes spp. and Sprat Sprattus sprattus (calculated fish length 5-15 cm;Table 2). The nests were built of a mixture of natural materials (seaweeds such as Fucus vesiculosus, Euteromorpha spp., Flustra foliacea, and Ascophyllum nodosum) and all kinds of plastics and nylon.Mean clutch size was low, perhaps typical for a newly established colony, but the prospects for this site seem promising, except for a limitation of nest sites. The food situation is likely to be excellent, as previous observations on seabirds in this part of the North Sea have shown. The results show that the birds focussed on natural prey rather than on discards (in sharp contrast with the prey remains of large Larus gulls found on the helicopter deck of the same site. The few available data suggest exponential growth of the colony, If the Kittiwakes on L8-P turn out to be successful breeders, one might expect a near-future colonisation of a number of nearby unmanned platforms that have not yet been colonised.",No,Ray,NA,NA,NA,NA,NA,NA,,,
J,"Meyer-Gutbrod, Erin L.; Love, Milton S.; Schroeder, Donna M.; Claisse, Jeremy T.; Kui, Li; Miller, Robert J.",Forecasting the legacy of offshore oil and gas platforms on fish community structure and productivity,ECOLOGICAL APPLICATIONS,30,8,,,10.1002/eap.2185,Dec-20,2020,"There are currently thousands of offshore platforms in place for oil and gas extraction worldwide, and decommissioning efforts over the next three decades are estimated to cost more than US$200 billion. As platforms reach the end of their useful lifetime, operators and regulatory agencies will assess the environmental impact of potential decommissioning strategies. Among the many factors that will be weighed in preparation for these major economic and engineering challenges is the fate of the fish and invertebrate communities that inhabit the structures underwater. Offshore platforms act as inadvertent artificial reefs, and some are recognized among the most productive fish habitats in the global oceans. We present a model for forecasting changes to fish communities surrounding offshore installations following a series of decommissioning alternatives. Using 24 platforms off southern California, we estimate fish biomass and somatic production under three possible decommissioning scenarios: leave in place, partial removal at 26-m depth, and complete removal of the platform and underlying shell mound. We used fish density and size data from scuba and submersible surveys of the platforms from 1995-2013 to estimate biomass and annual somatic production. Bottom trawl surveys were used to characterize future fish assemblages at platform sites under the complete-removal decommissioning scenario. Based on a conservatively modeled extrapolation of the survey data, we found that complete removal of a platform resulted in 95% or more reduction in the average fish biomass and annual somatic production at the site, while partial removal resulted in far smaller losses, averaging 10% or less. In the event that all surveyed platforms are completely removed, we estimated a total loss of more than 28,000 kg of fish biomass in the Southern California Bight. Platform habitats, which attract reef-dwelling fish species, had minimal overlap in community composition with the surrounding soft-bottom habitat. To best serve the wide range of stakeholder interests, the site-specific biomass, productivity and species composition information provided in this study should be incorporated into strategic decommissioning planning. This approach could be used as a model for informing rigs to reefs discussions occurring worldwide.",Yes,Ray,No,Yes,Ray,Secondary,Percent change in biomass,Marine,,,
J,"Smith, James A.; Lowry, Michael B.; Champion, Curtis; Suthers, Iain M.",A designed artificial reef is among the most productive marine fish habitats: new metrics to address 'production versus attraction',MARINE BIOLOGY,163,9,,,10.1007/s00227-016-2967-y,Sep-16,2016,"It was recently demonstrated that oil platforms are among the most productive marine fish habitats (Claisse et al. in Proc Natl Acad Sci USA 111: 15462-15467, 2014). Designed artificial reef systems are similar, albeit smaller, modified habitats designed to accommodate fish assemblages. We compared fish production at a large designed reef to reported production at oil platforms. Given the focus in artificial reef research on distinguishing between new and aggregated fish production, we used a different approach to that of Claisse et al. (Proc Natl Acad Sci USA 111: 15462-15467, 2014) to calculate production, based on a steady-state assumption. This assumption simplifies the analysis and distinguishes 'local production', 'new production', and 'biomass flux'. Comparing biomass flux with standing stock biomass enables a new approach to address the production versus attraction debate, by revealing how much biomass is exposed to fishing compared to how much has local production. The local fish production at this artificial reef was 384 g m(-2) year(-1), which is within the 105887 g m(-2) year(-1) range reported by Claisse et al., although our study included visitor species not included by Claisse et al. We estimate that the fish production new to the ecosystem may only be 4-5 % of the local production, due to the large abundance of visitor species on this reef. The annual flux of biomass across this reef was very large, similar to 380 times greater than the standing stock biomass, meaning that this reef is vulnerable to overexploitation from fishing. Our results show that like oil platforms, designed artificial reefs can be very productive marine habitats, but may not greatly increase the net fish production in a system. The method detailed here will allow similar studies to be done relatively simply at other marine habitats, including fish aggregation devices.",Yes,Ray,No,Yes,Ray,NA,fish biomass /space /year,NA,,,
J,"Claisse, Jeremy T.; Pondella, Daniel J.; Love, Milton, II; Zahn, Laurel A.; Williams, Chelsea M.; Bull, Ann S.",Impacts from Partial Removal of Decommissioned Oil and Gas Platforms on Fish Biomass and Production on the Remaining Platform Structure and Surrounding Shell Mounds,PLOS ONE,10,9,,,10.1371/journal.pone.0135812,Sep 2 2015,2015,"When oil and gas platforms become obsolete they go through a decommissioning process. This may include partial removal (from the surface to 26 m depth) or complete removal of the platform structure. While complete removal would likely eliminate most of the existing fish biomass and associated secondary production, we find that the potential impacts of partial removal would likely be limited on all but one platform off the coast of California. On average 80% of fish biomass and 86% of secondary fish production would be retained after partial removal, with above 90% retention expected for both metrics on many platforms. Partial removal would likely result in the loss of fish biomass and production for species typically found residing in the shallow portions of the platform structure. However, these fishes generally represent a small proportion of the fishes associated with these platforms. More characteristic of platform fauna are the primarily deeper-dwelling rockfishes (genus Sebastes). Shell mounds are biogenic reefs that surround some of these platforms resulting from an accumulation of mollusk shells that have fallen from the shallow areas of the platforms mostly above the depth of partial removal. We found that shell mounds are moderately productive fish habitats, similar to or greater than natural rocky reefs in the region at comparable depths. The complexity and areal extent of these biogenic habitats, and the associated fish biomass and production, will likely be reduced after either partial or complete platform removal. Habitat augmentation by placing the partially removed platform superstructure or some other additional habitat enrichment material (e.g., rock boulders) on the seafloor adjacent to the base of partially removed platforms provides additional options to enhance fish production, potentially mitigating reductions in shell mound habitat.",Yes,Ray,No,Yes,Ray,NA,fish biomass /space /year,NA,,,
J,"Streich, Matthew K.; Ajemian, Matthew J.; Wetz, Jennifer J.; Stunz, Gregory W.",A Comparison of Fish Community Structure at Mesophotic Artificial Reefs and Natural Banks in the Western Gulf of Mexico,MARINE AND COASTAL FISHERIES,9,1,170,189,10.1080/19425120.2017.1282897,2017,2017,"Oil and gas platforms along the northwestern Gulf of Mexico (GOM) shelf have served as artificial reefs since oil and gas exploration intensified in the 1950s. As these structures are decommissioned, they must be removed; however, some are converted to permanent artificial reefs. Despite the potential effects these artificial habitats may have on marine fisheries, investigations that assess the fish communities inhabiting these structures relative to natural habitats are rare. During fall 2012, we used remotely operated vehicle surveys to compare fish communities between artificial reefs (i.e., reefed platforms; n = 5) and adjacent natural banks (n = 5) in the western GOM. Our surveys successfully documented 79 species representing 28 families. Multivariate analyses suggested that fish communities at artificial reefs were distinct from those at natural banks. Post hoc analyses indicated that the differences were driven by high abundances of transient, midwater pelagics and other gregarious species at artificial reefs. Many fisheries species, like the Red Snapper Lutjanus campechanus, were found in both habitat types, with density at artificial reefs estimated to be nearly eight times greater than at natural banks. Despite lower densities at natural banks, the disproportionately large areas of these habitats resulted in relatively high total abundance estimates-approximately 5% of the 2012 GOM Red Snapper annual catch limit (3.67 million kg [8.08 million lb])-a finding that has significant implications for Red Snapper and artificial reef management in the GOM. Our study suggests that although fish community structure may differ between these two habitats, artificial reefs serve as important habitat for species like Red Snapper by potentially diverting fishing pressure from natural habitats; however, future studies that address species-specific life history traits will be needed to better understand the function and performance of artificial reefs in supporting fisheries productivity.",Yes,Ray,No,NA,Ray,NA,NA,NA,measured fish density (and related metrics),,
J,"Martin, Christopher J. B.; Lowe, Christopher G.",Assemblage Structure of Fish at Offshore Petroleum Platforms on the San Pedro Shelf of Southern California,MARINE AND COASTAL FISHERIES,2,1,180,194,10.1577/C09-037.1,2010,2010,"Offshore petroleum platforms in California's Santa Barbara Channel have been shown to be of ecological importance for local fish populations; however, before our investigation, no data existed on the fish assemblages associated with the platforms on the San Pedro Shelf further south. Our surveys of these platforms in 2006 and 2007 indicate that there is a core group of warm- temperate nearshore reef species in the midwater depth (<30 m), including California sheephead Semicossyphus pulcher, blacksmith Chromis punctipinnis, garibaldi Hypsypops rubicundus, opaleye Girella nigricans, and kelp bass Paralabrax clathratus. Platforms located further from shore (i.e., offshore platforms [>14 km]) had a strong seasonal presence of pelagic fishes (primarily jack mackerel Trachurus symmetricus) and recruit blacksmiths. At platforms closer to shore (i.e., inshore platforms [<4.8 km]), sea basses (Serranidae) and surfperches (Embiotocidae) were predominant; only slight seasonal variations were observed, which were attributed to prespawning aggregations of barred sand bass Paralabrax nebulifer. At the offshore platforms total fish density had a negative relationship with depth but a positive relationship with water temperature; conversely, total fish biomass exhibited a positive relationship with depth but a negative relationship with temperature. In contrast, at the inshore platforms both total fish density and biomass increased with increasing water temperature. With the exception of blacksmiths, nearshore reef fishes showed significantly greater densities of adults than juveniles. Furthermore, some species were observed spawning at these structures. Therefore, the San Pedro Shelf platforms may provide suitable habitat for several species of nearshore reef fish. Removing the upper levels and superstructure of the offshore platforms to a depth of 25 m (the partial removal decommissioning option) would eliminate critical habitat for several fish species and result in a potential loss of 95% of the total fish density and 77% of the total fish biomass, thus reducing the productivity advantages of some of these structures.",Yes,Ray,No,NA,Ray,NA,NA,NA,measured fish density (and related metrics),,
J,"Salcido, RE",Enduring optimism: Examining the rig-to-reef bargain,ECOLOGY LAW QUARTERLY,32,4,863,937,,2005,2005,"Federal law requires the removal of offshore oil and gas platforms from the seafloor at the end of production. An exception to this rule allows a platform to stay on the seafloor if it is incorporated into a state artificial reef program. These '' rig-to-reef '' projects have been promoted as innovative public-private partnerships that address the dual problems of costly platform removal and disappearing fishing opportunities. I argue that the current legal framework fails to ensure habitat enhancement and may condone ocean dumping. The problem can be traced to three sources: federal and state competition on the outer continental shelf, lack of a comprehensive long-term federal vision for outer continental shelf development, and interest group pressure in the face of scientific uncertainty. I recommend that we revisit the bargain struck in rig-to-reef conversions. This article identifies the flaws in current law and proposes a more robust experimental model to ensure that public benefit is realized in rig-to-reef programs.",No,Ray,NA,NA,NA,NA,NA,NA,,,
J,"Fernandez, L",A diversified portfolio: joint management of non-renewable and renewable resources offshore,RESOURCE AND ENERGY ECONOMICS,27,1,65,82,10.1016/j.reseneeco.2004.09.001,Jan-05,2005,"Most resource models and resource policies address non-renewable and renewable resources separately for optimal management. A stochastic control model is developed that includes ecological and economic uncertainty for jointly managing both types of natural resources. The model is applied to analyze options for offshore oil platforms with data from California. Model components include fisheries benefits, maintenance and extraction costs, decommissioning costs, and the market value of oil. Numerical sensitivity analysis helps determine how these components affect the options of removing and salvaging the platform, continuing diversified resource production or delaying extraction activity. (C) 2004 Elsevier B.V. All rights reserved.",No,Ray,NA,NA,NA,NA,NA,NA,,,
J,"Gallaway, Benny J.; Szedlmayer, Stephen T.; Gazey, William J.",A Life History Review for Red Snapper in the Gulf of Mexico with an Evaluation of the Importance of Offshore Petroleum Platforms and Other Artificial Reefs,REVIEWS IN FISHERIES SCIENCE,17,1,48,67,10.1080/10641260802160717,2009,2009,"Red snapper mature as early as age 2, have high fecundity (a 10-year-old female produces 60 million eggs per year), and may live for over 50 years. Eggs, larvae, and post-settlement juveniles typically show high rates of natural mortality. For example, of the 60 million eggs produced annually by a 10-year-old female, only about 450 would survive to 5 cm, the size at which they enter the shrimp fishery. Changes in abundance by size and age appear to be consistent with density dependence in survival rate from ages 0 to 1 and likely ages 0 to 2. Red snapper are attracted to structure or reef habitat at all ages, but larger, older fish also occur over open habitat once they have reached a size that renders them largely invulnerable to predation. Artificial reefs comprise a small fraction of the overall high-relief reef habitat, but harbor a large fraction of the present-day age 2 red snapper populations. Prior to the proliferation of artificial reefs in the northern Gulf, age 2 red snapper may have historically occurred mainly over open-bottom, sand-mud benthic habitat where natural and shrimp trawl bycatch mortality was high. Age 2 fish dominate red snapper populations at artificial reefs, whereas the age composition of red snapper at natural reefs usually show older ages are dominant. The present day red snapper fishery is heavily dependent on catches at artificial reefs. Evidence is presented that suggests red snapper production in the northern Gulf likely has been increased by the establishment of significant numbers of artificial reefs.",Yes,Ray,No,NA,Ray,NA,NA,NA,measured fish size distribtion (and related metrics),,
J,"LEPINE, AJ; GARLEB, KA; REINHART, GA; KRESTY, LA",DIETARY NITROGEN AND LIPID UTILIZATION BY GROWING PIGS FED STRUCTURED TRIACYLGLYCERIDES SYNTHESIZED FROM MEDIUM-CHAIN TRIACYLGLYCERIDES AND MENHADEN OIL,JOURNAL OF ANIMAL SCIENCE,72,4,938,945,10.2527/1994.724938x,Apr-94,1994,"A total of 24 crossbred barrows were used in a 19-d metabolism trial to determine the effect of dietary structured triacylglycerides synthesized by the random reesterification of medium-chain triacylglycerides (MCT) and menhaden oil on growth performance, nitrogen retention, an apparent digestibilities of nitrogen, lipid, and fatty acids. Pigs wee randomly assigned to four dietary treatments differing only in lipid source. Dietary treatments (percentage by weight of total lipid) contained either 1) corn oil: soybean oil:MCT oil (40:10:50), 2) MCT oil:menhaden oil (60:40 as structured triacylglyceride), 3) MCT oil: menhaden oil (60:40 nonstructured, physical mixture), or 4) structured triacylglyceride (as in 2): safflower oil:canola oil (80:10:10). Total fecal and urine collections were conducted during two 5-d periods. Apparent nitrogen digestibility and nitrogen retention were high (> 95%) and not affected (P > .05) by dietary treatment. Apparent fatty acid digestibilities were affected by dietary lipid source. Palmitic and arachidonic acid digestibilities were lower (P < .05) for Diet 1, heptadecanoic acid digestibility was elevated by 21% (P < .05) for Diet 2 relative to Diet 3, and stearic acid digestibility was highest (P < .05) for Diet 1, followed by Diets 2, 3, and 4 in decreasing order. This study demonstrates that the physical nature of the lipid (structured vs nonstructured) affects fatty acid digestibility patterns in the growing pig. Further evaluation of MCT/menhaden oil structured triacylglyceride is needed.",No,Ray,NA,NA,NA,NA,NA,NA,,,
J,"Melbourne-Thomas, Jess; Hayes, Keith R.; Hobday, Alistair J.; Little, L. Richard; Strzelecki, Joanna; Thomson, Damian P.; van Putten, Ingrid; Hook, Sharon E.",Decommissioning Research Needs for Offshore Oil and Gas Infrastructure in Australia,FRONTIERS IN MARINE SCIENCE,8,,,,10.3389/fmars.2021.711151,Jul 29 2021,2021,"When offshore oil and gas infrastructure is no longer needed, it is either removed, partially removed, left in place, or left in place but repurposed. These processes are collectively referred to as decommissioning. Australian legislation requires oil and gas companies to develop acceptable plans for the safe removal of all offshore infrastructure at the end of a project's life. Over the next 50 years, the liability for this decommissioning in Australia is expected to exceed US$45 billion. Unlike countries such as Norway, the United Kingdom and the Netherlands, Australian decommissioning activities are in their infancy, with only three cases (to date) in Commonwealth waters where infrastructure has been left in place or partially removed as part of decommissioning. Differences between the Australian marine environment and that of other regions around the world where decommissioning-related research is better progressed include very low sedimentation rates, both tropical and temperate habitats, different species composition, low primary production, and frequent tropical cyclones, as well as unique sociodemographic and cultural characteristics. Accordingly, the outcomes of the decision support tools used in other regions to identify preferred decommissioning options may not be equally applicable in Australia. Here we describe research to support risk and impact assessment for offshore decommissioning in Australia, where full removal of infrastructure is the base case regulatory default, but other options including partial removal and/or repurposing might provide similar or better outcomes when environmental, social, economic and seafood safety aspects are considered. Based on our review we propose an integrated framework for research needs to meet legislative requirements for decommissioning and identify research gaps that need to be addressed to inform decision-making for decommissioning in the Australian context.",No,Ray,NA,NA,NA,NA,NA,NA,,,
J,"Daigle, Sara T.; Fleeger, John W.; Cowan, James H., Jr.; Pascal, Pierre-Yves",What Is the Relative Importance of Phytoplankton and Attached Macroalgae and Epiphytes to Food Webs on Offshore Oil Platforms?,MARINE AND COASTAL FISHERIES,5,1,53,64,10.1080/19425120.2013.774301,Jan 1 2013,2013,"Offshore oil platforms function as artificial reefs, but little is known about the food webs that fuel platform-dwelling biota. Here, we use carbon and nitrogen isotopes in tissues of biota from two offshore oil platforms to estimate the importance of phytoplankton and platform-associated macroalgae and epiphytic microalgae to the diets of platform-dwelling consumers. Although the consumption of macroalgae was indicated for small, mobile consumers including crabs, amphipods, and harpacticoid copepods, both a Bayesian mixing model and temporal changes in isotope composition identified phytoplankton as the most important basal resource for these consumers. Sessile suspension-feeding barnacles and oysters consumed phytoplankton and epiphytes, and probably redirected large amounts of pelagic production to other consumers. Secondary consumers including syllid polychaetes and the blennies, Molly Miller Scartella cristata and Tessellated Blenny Hypsoblennius invemar, exhibited a distinct contribution from epiphytes although large ranges in all potential basal resources were observed. Elemental and isotope analysis of the gut contents of individuals indicated that the nektonic Gray Triggerfish Balistes capriscus was omnivorous, directly consuming reef-derived macroalgae and epiphytes as well as animal tissue. Although we found that reef-derived resources entered benthic and nektonic food webs surrounding platforms, phytoplankton was the dominant basal resource fueling platform-dwelling communities at the time of our study, and no consumer studied specialized on a diet of red macroalgae. If these findings are generally representative, platform-derived benthic algae would not be integral to food-web function on artificial reefs, and reef function should be similar in areas both favorable to and unfavorable to in situ algal growth.",Yes,Ray,No,NA,Ray,NA,NA,NA,used stable isotopes to derive food locations,,
J,"ROWLAND, SJ; VOLKMAN, JK",BIOGENIC AND POLLUTANT ALIPHATIC-HYDROCARBONS IN MYTILUS-EDULIS FROM THE NORTH-SEA,MARINE ENVIRONMENTAL RESEARCH,7,2,117,130,10.1016/0141-1136(82)90037-X,1982,1982,,No,Ray,NA,NA,NA,NA,NA,NA,,,
